"","study","group","treatment_effect","standard_error","treat_n","control_n"
"52",18,"Male",0.139042753761169,0.0259499140325934,13821,13917
"53",18,"Black",0.161725170030724,0.127302117668092,5459,5317
"54",18,"White",0.129832324652234,0.0402021559234709,14755,14983
"55",18,"Latinx",0.184191984167788,0.128066067046486,15542,15803
"56",18,"18-24",0.182241819058545,0.0690287791993469,9972,10226
"57",18,"25-30",0.147958429615013,0.0613768933024257,14510,14494
"58",18,"31-45",0.170693577065365,0.0820334768863395,3488,3901
"59",18,"46-60",0.0897326615536585,0.12153628407605,640,527
"60",18,"61+",0.070962633745512,0.095390497119166,9719,10085
"61",19,"Female",-0.0459364827924874,0.119397719779983,10959,11045
"62",19,"Male",0.138561443995452,0.125611639312468,5663,5289
"63",19,"Black",0.00381419058702886,0.0802456459607929,7776,7776
"64",19,"White",0.090153774139937,0.0119158188160509,3722,3390
"65",19,"Latinx",0.0700288086310029,0.099916847512126,16216,16348
"66",19,"18-24",0.0198019268650096,0.10792886903137,16369,16559
"67",19,"25-30",0.175236170019954,0.00681097271200269,4622,4718
"68",19,"31-45",0.0103199426075444,0.122669350369833,1134,716
"69",19,"46-60",0.0757021696914453,0.115746991615742,7729,7241
"70",19,"61+",0.128944629994221,0.0714117790842429,6094,5822
"71",20,"Female",0.0945562317261938,0.0221749449856579,7498,7207
"72",20,"Male",0.131295553074684,0.0854694440560415,15780,16066
"73",20,"Black",0.173528515364975,0.0544017413994297,4646,5120
"74",20,"White",0.0657164901949,0.0975190334878862,3576,3971
"75",20,"Latinx",0.129355778620346,0.0807231963388622,11841,11988
"76",20,"18-24",0.157322341405554,0.0903407642776147,11723,11564
"77",20,"25-30",0.0348219102881849,0.0714790733503178,14832,15204
"78",20,"31-45",0.126190831585787,0.0356527621503919,3343,3678
"79",20,"46-60",-0.00110434241546318,0.0868650068109855,14131,14549
"80",20,"61+",0.0185196486131754,0.125719822142273,10445,10634
"81",21,"Female",0.0915569176222198,0.00883758340589702,5894,5729
"82",21,"Male",0.174587172521744,0.0642462838832289,1691,1945
"83",21,"Black",0.0209602143473458,0.103488148996606,6437,6196
"84",21,"White",-0.0310945272026584,0.0628944035954773,17718,18005
"85",21,"Latinx",0.109897069426719,0.00989357309881598,16071,15643
"86",21,"18-24",-0.0114298013190273,0.0670045469822362,14267,14039
"87",21,"25-30",0.0198563750283793,0.112217059246264,9371,9406
"88",21,"31-45",0.184363649901235,0.0580621185759082,11434,11656
"89",21,"46-60",-0.018327016670024,0.0366008294196799,1503,1089
"90",21,"61+",0.114344971743179,0.116043025521562,10115,9954
"91",22,"Female",0.161522942575626,0.102131208199076,14435,14277
"92",22,"Male",0.121299403613666,0.0514647513674572,17412,17345
"93",22,"Black",0.0580426502788905,0.119092163269408,11102,10875
"94",22,"White",0.123443512038561,0.0942190158590674,5675,5691
"95",22,"Latinx",0.0378953169789165,0.0442454872857779,17023,16749
"96",22,"18-24",0.136116256275913,0.0162783721275628,14154,13670
"97",22,"25-30",-0.00543265604926273,0.102083986875601,12475,12883
"98",22,"31-45",0.176360154201044,0.0505457657789811,8137,8519
"99",22,"46-60",0.107267066818429,0.0255126811256632,2608,2289
"100",22,"61+",0.0218387904341798,0.0447479566568509,11220,11688
